Fecha,Metal,Valor,Unidad,,
14-12-2017,Molibdeno,"8,500.00",¢US/lb,,
14-12-2017,Inventarios,"191,550",TM,,
15-12-2017,Cobre,305.52,¢US/lb,,
15-12-2017,Oro,"1,257.25",US$/ozt,,
15-12-2017,Plata,15.99,US$/ozt,,
15-12-2017,Molibdeno,"8,500.00",¢US/lb,,
15-12-2017,Inventarios,"195,200",TM,,
18-12-2017,Cobre,310.44,¢US/lb,,
18-12-2017,Oro,"1,258.65",US$/ozt,,
18-12-2017,Plata,15.99,US$/ozt,,
18-12-2017,Molibdeno,"8,500.00",¢US/lb,,
18-12-2017,Inventarios,"196,725",TM,,
19-12-2017,Cobre,310.48,¢US/lb,,
19-12-2017,Oro,"1,263.10",US$/ozt,,
19-12-2017,Plata,16.16,US$/ozt,,
19-12-2017,Molibdeno,"8,500.00",¢US/lb,,
19-12-2017,Inventarios,"201,725",TM,,
20-12-2017,Cobre,314.11,¢US/lb,,
20-12-2017,Oro,"1,265.95",US$/ozt,,
20-12-2017,Plata,16.19,US$/ozt,,
20-12-2017,Molibdeno,"8,500.00",¢US/lb,,
20-12-2017,Inventarios,"201,150",TM,,
21-12-2017,Cobre,316.47,¢US/lb,,
21-12-2017,Oro,"1,265.85",US$/ozt,,
21-12-2017,Plata,16.15,US$/ozt,,
21-12-2017,Molibdeno,"8,500.00",¢US/lb,,
21-12-2017,Inventarios,"201,650",TM,,
22-12-2017,Cobre,318.38,¢US/lb,,
22-12-2017,Oro,"1,268.05",US$/ozt,,
22-12-2017,Plata,16.18,US$/ozt,,
22-12-2017,Molibdeno,"8,500.00",¢US/lb,,
22-12-2017,Inventarios,"201,600",TM,,
27-12-2017,Cobre,323.87,¢US/lb,,
27-12-2017,Oro,"1,285.40",US$/ozt,,
27-12-2017,Plata,16.50,US$/ozt,,
27-12-2017,Molibdeno,"8,500.00",¢US/lb,,
27-12-2017,Inventarios,"202,100",TM,,
28-12-2017,Cobre,327.31,¢US/lb,,
28-12-2017,Oro,"1,291.60",US$/ozt,,
28-12-2017,Plata,16.74,US$/ozt,,
28-12-2017,Molibdeno,"8,500.00",¢US/lb,,
28-12-2017,Inventarios,"202,850",TM,,
29-12-2017,Cobre,324.64,¢US/lb,,
29-12-2017,Oro,"1,296.50",US$/ozt,,
29-12-2017,Plata,16.87,US$/ozt,,
29-12-2017,Molibdeno,"8,500.00",¢US/lb,,
29-12-2017,Inventarios,"201,725",TM,,
02-01-2018,Cobre,325.72,¢US/lb,,
02-01-2018,Oro,"1,312.80",US$/ozt,,
02-01-2018,Plata,17.06,US$/ozt,,
02-01-2018,Molibdeno,"8,500.00",¢US/lb,,
02-01-2018,Inventarios,"200,650",TM,,
03-01-2018,Cobre,322.75,¢US/lb,,
03-01-2018,Oro,"1,314.60",US$/ozt,,
03-01-2018,Plata,17.13,US$/ozt,,
03-01-2018,Molibdeno,"8,500.00",¢US/lb,,
03-01-2018,Inventarios,"200,225",TM,,
08-02-2018,Cobre,"310,167",¢US/lb,,
08-02-2018,Oro,"1311,05",US$/ozt,,
08-02-2018,Plata,17.13,US$/ozt,,
08-02-2018,Molibdeno,"7,257",¢US/lb,,
08-02-2018,Inventarios,"316,100",TM,,
09-02-2018,Cobre,306.40,¢US/lb,,
09-02-2018,Oro,"1,316.05",US$/ozt,,
09-02-2018,Plata,16.36,US$/ozt,,
09-02-2018,Molibdeno,"7,257.00",¢US/lb,,
09-02-2018,Inventarios,"336,225",TM,,
12-02-2018,Cobre,307.83,¢US/lb,,
12-02-2018,Oro,"1,321.70",US$/ozt,,
12-02-2018,Plata,16.42,US$/ozt,,
12-02-2018,Molibdeno,"7,257.00",¢US/lb,,
12-02-2018,Inventarios,"333,850",TM,,
13-02-2018,Cobre,313.343,¢US/lb,,
13-02-2018,Oro,"1,332.14",US$/ozt,,
13-02-2018,Plata,17.0508,US$/ozt,,
13-02-2018,Molibdeno,"7,257",¢US/lb,,
13-02-2018,Inventarios,"333,025",TM,,
14-02-2018,Cobre,315.79,¢US/lb,,
14-02-2018,Oro,"1,339.75",US$/ozt,,
14-02-2018,Plata,16.58,US$/ozt,,
14-02-2018,Molibdeno,"7,257",¢US/lb,,
14-02-2018,Inventarios,"333,625",TM,,
15-02-2018,Cobre,312.96,¢US/lb,,
15-02-2018,Oro,"1,353.70",US$/ozt,,
15-02-2018,Plata,16.82,US$/ozt,,
15-02-2018,Molibdeno,"7,257",¢US/lb,,
15-02-2018,Inventarios,"333,525",TM,,
16-02-2018,Cobre,324.727,¢US/lb,,
16-02-2018,Oro,"1,358.60",US$/ozt,,
16-02-2018,Plata,16.835,US$/ozt,,
16-02-2018,Molibdeno,"7,257",¢US/lb,,
16-02-2018,Inventarios,"332,775",TM,,
19-02-2018,Cobre,321.733,¢US/lb,,
19-02-2018,Oro,"1,347.40",US$/ozt,,
19-02-2018,Plata,16.72,US$/ozt,,
